Resignation,Business Travel,CF_age band,CF_current Employee,Current Status,Department,Education,Employee Number,Gender,Job Role,Marital Status,Over Time,Trainings Last Year,Age,Daily Rate,Distance From Home,Education Degree,Environment Satisfaction,Job Involvement,Job Satisfaction,Monthly Income,Num Companies Worked,Percent Salary Hike,Performance Rating,Stock Option Level,Total Working Years,Work Life Balance,Years In Current Role,Years Since Last Promotion,Years With Curr Manager
Yes,Travel_Frequently,25 - 34,0,Ex-Employees,R&D,Technical Degree,514,Male,Research Scientist,Single,Yes,4,30,464,4,Bachelor's Degree,3,3,4,2285,9,23,4,0,3,3,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,515,Female,Laboratory Technician,Divorced,No,2,37,1107,14,Bachelor's Degree,4,3,1,3034,1,12,3,1,18,2,7,12,17
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,516,Female,Sales Executive,Divorced,No,5,40,759,2,Associates Degree,4,3,2,5715,7,12,3,2,8,3,4,1,3
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,517,Female,Laboratory Technician,Divorced,No,5,42,201,1,Master's Degree,2,3,1,2576,3,16,3,1,8,3,2,1,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,518,Male,Manufacturing Director,Single,Yes,2,37,1305,10,Master's Degree,3,3,2,4197,2,12,3,0,18,2,0,0,1
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,520,Male,Research Director,Divorced,No,3,43,982,12,Bachelor's Degree,1,2,2,14336,1,11,3,1,25,3,10,3,9
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,521,Female,Laboratory Technician,Married,No,3,40,555,2,Bachelor's Degree,2,2,3,3448,6,22,4,1,20,3,0,0,0
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Medical,522,Male,Research Director,Married,No,4,54,821,5,Associates Degree,1,3,1,19406,4,11,3,1,24,2,2,1,2
No,Non-Travel,25 - 34,1,Current Employees,Sales,Marketing,523,Female,Sales Executive,Married,No,3,34,1381,4,Master's Degree,3,3,3,6538,9,15,3,1,6,3,2,1,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,524,Female,Manufacturing Director,Married,No,5,31,480,7,Associates Degree,2,3,1,4306,1,12,3,1,13,1,10,3,12
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Medical,525,Male,Laboratory Technician,Married,No,1,43,313,21,Bachelor's Degree,4,3,4,2258,7,20,4,1,8,3,2,1,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Other,526,Female,Healthcare Representative,Divorced,Yes,3,43,1473,8,Master's Degree,3,3,3,4522,4,14,3,0,8,3,2,0,2
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Life Sciences,527,Female,Sales Executive,Single,Yes,3,25,891,4,Associates Degree,2,2,4,4487,1,11,3,0,5,3,4,1,3
No,Non-Travel,35 - 44,1,Current Employees,R&D,Medical,529,Female,Research Scientist,Married,Yes,2,37,1063,25,Doctoral Degree,2,3,3,4449,3,15,3,2,15,3,11,10,7
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,530,Male,Laboratory Technician,Married,No,3,31,329,1,Associates Degree,4,2,1,2218,1,12,3,1,4,3,2,3,2
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Life Sciences,531,Male,Manager,Divorced,Yes,3,39,1218,1,High School,2,3,3,19197,1,14,3,1,21,3,8,1,6
No,Travel_Frequently,Over 55,1,Current Employees,Sales,Life Sciences,532,Female,Sales Executive,Married,No,0,56,906,6,Bachelor's Degree,3,4,1,13212,9,11,3,3,36,2,7,7,7
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Technical Degree,533,Female,Sales Executive,Single,No,6,30,1082,12,Bachelor's Degree,2,3,3,6577,0,11,3,0,6,3,4,4,4
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,534,Male,Sales Executive,Married,No,2,41,645,1,Bachelor's Degree,2,4,1,8392,1,16,3,1,10,3,7,0,7
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,536,Male,Laboratory Technician,Divorced,No,2,28,1300,17,Associates Degree,3,3,1,4558,1,12,3,1,10,3,0,1,8
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,R&D,Medical,538,Male,Laboratory Technician,Married,No,5,25,688,3,Bachelor's Degree,1,3,1,4031,5,13,3,1,6,3,2,0,2
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Medical,543,Male,Manufacturing Director,Married,Yes,4,52,319,3,Bachelor's Degree,4,2,3,7969,2,14,3,0,28,3,4,0,4
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,544,Male,Research Scientist,Married,No,3,45,192,10,Associates Degree,1,3,4,2654,3,21,4,2,8,2,2,0,2
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,546,Female,Manager,Married,No,2,52,1490,4,Associates Degree,4,3,4,16555,2,13,3,0,31,1,2,1,4
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Life Sciences,547,Female,Research Scientist,Divorced,No,3,42,532,29,Associates Degree,1,3,3,4556,2,11,3,1,19,3,4,0,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,548,Female,Manufacturing Director,Single,No,2,30,317,2,Bachelor's Degree,3,1,4,6091,2,20,4,0,11,3,4,0,2
No,Travel_Rarely,Over 55,1,Current Employees,R&D,Life Sciences,549,Female,Manager,Married,No,5,60,422,7,Bachelor's Degree,1,3,1,19566,5,11,3,0,33,1,8,11,10
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Medical,550,Female,Manufacturing Director,Divorced,No,5,46,1485,18,Bachelor's Degree,3,3,3,4810,2,14,3,1,19,2,7,0,8
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Technical Degree,551,Female,Healthcare Representative,Married,No,4,42,1368,28,Master's Degree,4,2,4,4523,0,11,3,3,7,4,5,0,4
Yes,Travel_Rarely,Under 25,0,Ex-Employees,Sales,Technical Degree,554,Female,Sales Representative,Single,Yes,4,24,1448,1,High School,1,3,2,3202,1,16,3,0,6,3,3,1,4
Yes,Travel_Frequently,25 - 34,0,Ex-Employees,Sales,Marketing,555,Female,Sales Representative,Divorced,No,3,34,296,6,Associates Degree,4,1,3,2351,0,16,3,1,3,2,2,1,0
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Life Sciences,556,Male,Laboratory Technician,Married,Yes,3,38,1490,2,Associates Degree,4,3,4,1702,1,23,4,1,1,3,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Life Sciences,558,Female,Manager,Married,No,2,40,1398,2,Master's Degree,3,3,3,18041,0,14,3,0,21,3,15,1,12
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,560,Female,Research Scientist,Divorced,No,3,26,1349,23,Bachelor's Degree,1,3,4,2886,1,22,4,2,3,1,2,0,2
No,Non-Travel,25 - 34,1,Current Employees,R&D,Life Sciences,562,Male,Laboratory Technician,Married,No,3,30,1400,3,Bachelor's Degree,3,3,4,2097,4,15,3,1,9,1,3,1,4
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,564,Male,Research Director,Married,No,2,29,986,3,Master's Degree,2,2,3,11935,1,18,3,0,10,3,2,0,7
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,R&D,Technical Degree,565,Female,Research Scientist,Married,No,2,29,408,25,Doctoral Degree,3,2,2,2546,5,16,3,0,6,4,2,1,1
Yes,Travel_Rarely,Under 25,0,Ex-Employees,HR,Technical Degree,566,Male,Human Resources,Single,No,3,19,489,2,Associates Degree,1,2,4,2564,1,12,3,0,1,4,0,0,0
No,Non-Travel,25 - 34,1,Current Employees,Sales,Other,567,Female,Sales Executive,Married,No,3,30,1398,22,Master's Degree,3,3,1,8412,0,11,3,0,10,3,8,7,8
No,Travel_Rarely,Over 55,1,Current Employees,Sales,Marketing,568,Male,Manager,Divorced,No,3,57,210,29,Bachelor's Degree,1,2,4,14118,3,12,3,1,32,2,0,0,0
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,569,Male,Manager,Married,No,2,50,1099,29,Master's Degree,2,2,3,17046,0,15,3,1,28,3,10,15,7
No,Non-Travel,25 - 34,1,Current Employees,R&D,Medical,571,Female,Laboratory Technician,Single,No,2,30,1116,2,Bachelor's Degree,3,3,4,2564,0,14,3,0,12,2,7,6,7
No,Travel_Frequently,Over 55,1,Current Employees,Sales,Marketing,573,Female,Sales Executive,Married,No,5,60,1499,28,Bachelor's Degree,3,2,1,10266,4,19,3,0,22,4,13,13,11
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Medical,574,Female,Manufacturing Director,Divorced,No,2,47,983,2,Associates Degree,1,3,4,5070,5,13,3,3,20,3,0,0,4
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,575,Male,Research Director,Married,No,2,46,1009,2,Bachelor's Degree,1,3,3,17861,6,13,3,0,26,1,2,0,1
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,577,Male,Laboratory Technician,Single,No,2,35,144,22,Bachelor's Degree,4,1,3,4230,0,15,3,0,6,3,4,4,3
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,578,Female,Laboratory Technician,Single,No,3,54,548,8,Master's Degree,3,3,3,3780,7,11,3,0,19,3,0,0,0
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,579,Male,Research Scientist,Divorced,No,3,34,1303,2,Master's Degree,4,2,3,2768,3,12,3,1,14,3,3,5,7
No,Travel_Rarely,45 - 54,1,Current Employees,Sales,Marketing,580,Female,Sales Executive,Married,Yes,3,46,1125,10,Bachelor's Degree,3,2,4,9071,2,19,3,1,15,3,2,1,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,581,Male,Manufacturing Director,Divorced,No,6,31,1274,9,High School,3,3,2,10648,1,25,4,1,13,4,8,0,8
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,R&D,Medical,582,Male,Manager,Married,Yes,2,33,1277,15,High School,2,3,3,13610,7,12,3,0,15,4,6,7,7
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,R&D,Medical,584,Male,Laboratory Technician,Divorced,No,2,33,587,10,High School,1,1,4,3408,7,13,3,3,8,3,3,1,3
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Marketing,585,Male,Sales Representative,Single,No,3,30,413,7,High School,4,3,2,2983,0,14,3,0,4,3,2,1,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,586,Male,Healthcare Representative,Married,Yes,2,35,1276,16,Bachelor's Degree,4,3,3,7632,4,12,3,0,10,3,7,0,0
Yes,Travel_Frequently,25 - 34,0,Ex-Employees,R&D,Life Sciences,587,Male,Healthcare Representative,Married,No,2,31,534,20,Bachelor's Degree,1,3,3,9824,3,12,3,0,12,3,0,0,0
Yes,Travel_Frequently,25 - 34,0,Ex-Employees,HR,Human Resources,590,Female,Human Resources,Divorced,Yes,2,34,988,23,Bachelor's Degree,2,3,1,9950,9,15,3,3,11,3,2,0,2
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Other,591,Male,Laboratory Technician,Married,No,4,42,1474,5,Associates Degree,2,3,3,2093,4,17,3,1,8,3,2,2,0
No,Non-Travel,35 - 44,1,Current Employees,Sales,Medical,592,Male,Sales Executive,Single,No,3,36,635,10,Master's Degree,2,3,4,9980,1,14,3,0,10,2,3,9,7
Yes,Travel_Frequently,Under 25,0,Ex-Employees,R&D,Technical Degree,593,Male,Laboratory Technician,Single,No,3,22,1368,4,High School,3,2,3,3894,5,16,3,0,4,3,2,1,2
No,Travel_Rarely,45 - 54,1,Current Employees,Sales,Marketing,595,Female,Sales Executive,Married,No,2,48,163,2,Doctoral Degree,2,3,4,4051,2,14,3,1,14,3,7,6,7
No,Travel_Rarely,Over 55,1,Current Employees,Sales,Life Sciences,597,Female,Manager,Single,No,2,55,1117,18,Doctoral Degree,1,3,2,16835,3,23,4,0,37,3,9,7,7
No,Non-Travel,35 - 44,1,Current Employees,Sales,Life Sciences,599,Male,Sales Executive,Single,No,3,41,267,10,Associates Degree,4,3,4,6230,7,14,3,0,16,3,3,1,10
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,600,Male,Sales Executive,Married,No,2,35,619,1,Bachelor's Degree,2,3,3,4717,9,11,3,0,15,3,9,6,9
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,601,Female,Manufacturing Director,Single,No,3,40,302,6,Bachelor's Degree,2,3,3,13237,7,15,3,0,22,3,6,5,13
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Life Sciences,602,Female,Laboratory Technician,Married,No,3,39,443,8,High School,3,3,3,3755,1,11,3,1,8,3,3,0,7
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Life Sciences,604,Male,Sales Executive,Single,Yes,2,31,828,2,High School,2,3,4,6582,4,13,3,0,10,4,5,0,5
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,605,Male,Manufacturing Director,Married,Yes,5,42,319,24,Bachelor's Degree,4,3,1,7406,1,21,4,1,10,2,9,5,8
No,Travel_Rarely,45 - 54,1,Current Employees,Sales,Other,606,Male,Sales Executive,Married,No,3,45,561,2,Bachelor's Degree,4,3,2,4805,0,19,3,1,9,4,7,3,7
Yes,Travel_Frequently,25 - 34,0,Ex-Employees,HR,Life Sciences,608,Female,Human Resources,Divorced,Yes,2,26,426,17,Master's Degree,2,3,3,2741,0,11,3,1,8,2,7,1,0
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Technical Degree,611,Male,Manufacturing Director,Divorced,No,2,29,232,19,Bachelor's Degree,4,3,4,4262,4,12,3,2,8,4,2,1,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,612,Female,Research Director,Divorced,No,2,33,922,1,Doctoral Degree,1,4,3,16184,4,19,3,1,10,3,1,0,5
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Life Sciences,613,Male,Manager,Divorced,No,3,31,688,7,Bachelor's Degree,3,2,4,11557,9,21,4,1,10,2,4,0,1
Yes,Travel_Frequently,Under 25,0,Ex-Employees,Sales,Marketing,614,Male,Sales Representative,Single,Yes,3,18,1306,5,Bachelor's Degree,2,3,2,1878,1,14,3,0,0,3,0,0,0
No,Non-Travel,35 - 44,1,Current Employees,Sales,Other,615,Male,Sales Executive,Divorced,No,2,40,1094,28,Bachelor's Degree,3,1,1,10932,3,15,3,1,20,3,0,0,1
No,Non-Travel,35 - 44,1,Current Employees,R&D,Other,616,Female,Healthcare Representative,Single,Yes,3,41,509,2,Master's Degree,1,2,3,6811,2,17,3,0,10,3,7,0,7
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Medical,618,Male,Sales Executive,Divorced,No,5,26,775,29,Associates Degree,1,3,3,4306,5,12,3,2,8,3,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Medical,620,Female,Sales Executive,Single,No,3,35,195,1,Bachelor's Degree,1,3,3,4859,1,16,3,0,5,3,4,0,3
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Life Sciences,621,Male,Sales Executive,Single,No,3,34,258,21,Master's Degree,4,4,4,5337,1,12,3,0,10,3,7,5,7
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,R&D,Technical Degree,622,Male,Laboratory Technician,Single,Yes,3,26,471,24,Bachelor's Degree,3,1,4,2340,1,18,3,0,1,1,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Technical Degree,623,Female,Manufacturing Director,Single,No,3,37,799,1,Bachelor's Degree,2,3,4,7491,4,17,3,0,12,4,5,1,2
No,Travel_Frequently,45 - 54,1,Current Employees,R&D,Medical,624,Female,Healthcare Representative,Married,No,3,46,1034,18,High School,1,3,3,10527,5,11,3,0,28,2,2,1,2
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Life Sciences,625,Female,Manager,Married,No,2,41,1276,2,Doctoral Degree,2,3,1,16595,7,16,3,1,22,3,16,11,8
No,Non-Travel,35 - 44,1,Current Employees,Sales,Medical,626,Male,Sales Executive,Divorced,No,6,37,142,9,Master's Degree,1,3,2,8834,1,13,3,1,9,3,5,7,7
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Technical Degree,630,Male,Research Scientist,Divorced,Yes,3,52,956,6,Associates Degree,4,3,1,5577,3,12,3,2,18,3,9,6,9
Yes,Non-Travel,25 - 34,0,Ex-Employees,Sales,Other,631,Male,Sales Executive,Married,No,2,32,1474,11,Master's Degree,4,4,3,4707,8,12,3,0,6,3,2,1,2
No,Travel_Frequently,Under 25,1,Current Employees,Sales,Medical,632,Male,Sales Representative,Married,No,3,24,535,24,Bachelor's Degree,4,3,4,2400,0,13,3,2,3,3,2,2,1
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,634,Female,Healthcare Representative,Married,No,4,38,1495,10,Bachelor's Degree,3,3,3,9824,3,19,3,1,18,3,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,635,Female,Manufacturing Director,Married,No,2,37,446,1,Master's Degree,2,3,2,6447,6,12,3,1,8,2,5,4,3
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,638,Male,Research Director,Divorced,Yes,5,49,1245,18,Master's Degree,4,2,3,19502,1,17,3,1,31,3,9,0,9
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Medical,639,Male,Research Scientist,Married,Yes,3,24,691,23,Bachelor's Degree,2,4,4,2725,1,11,3,2,6,3,5,1,4
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Marketing,641,Male,Sales Executive,Married,No,5,26,703,28,Associates Degree,1,3,2,6272,1,20,4,2,6,4,3,1,4
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Other,643,Male,Laboratory Technician,Married,No,2,24,823,17,Associates Degree,4,2,2,2127,1,21,4,1,1,3,0,0,0
No,Travel_Frequently,45 - 54,1,Current Employees,HR,Medical,644,Male,Manager,Married,No,2,50,1246,3,Bachelor's Degree,1,3,2,18200,1,11,3,1,32,3,5,10,7
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Medical,645,Male,Sales Representative,Married,No,1,25,622,13,High School,2,3,3,2096,1,11,3,0,7,3,4,0,6
Yes,Travel_Frequently,Under 25,0,Ex-Employees,R&D,Life Sciences,647,Female,Laboratory Technician,Married,Yes,4,24,1287,7,Bachelor's Degree,1,3,3,2886,1,16,3,1,6,3,3,1,2
Yes,Travel_Frequently,25 - 34,0,Ex-Employees,Sales,Life Sciences,648,Male,Sales Representative,Married,No,2,30,448,12,Master's Degree,2,2,1,2033,1,18,3,1,1,4,0,0,0
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,649,Male,Research Scientist,Married,Yes,3,34,254,1,Associates Degree,2,2,4,3622,1,13,3,1,6,3,5,1,3
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,Sales,Medical,650,Male,Sales Executive,Divorced,No,2,31,1365,13,Master's Degree,2,3,1,4233,2,17,3,0,9,1,1,1,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Other,652,Male,Laboratory Technician,Single,No,3,35,538,25,Associates Degree,1,2,4,3681,4,14,3,0,9,3,2,0,2
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Medical,653,Male,Sales Executive,Divorced,No,4,31,525,6,Master's Degree,1,4,4,5460,4,22,4,2,13,4,7,5,7
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,655,Female,Research Scientist,Divorced,No,5,27,798,6,Master's Degree,1,2,3,2187,0,12,3,2,6,2,3,0,3
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,656,Male,Sales Executive,Married,Yes,3,37,558,2,Bachelor's Degree,4,3,3,9602,4,11,3,1,17,2,0,1,0
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Life Sciences,657,Female,Research Scientist,Single,No,0,20,959,1,Bachelor's Degree,4,2,2,2836,1,13,3,0,1,4,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,659,Female,Healthcare Representative,Married,No,4,42,622,2,Master's Degree,3,3,4,4089,1,13,3,2,10,3,2,2,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Other,661,Male,Research Director,Divorced,Yes,3,43,782,6,Master's Degree,2,2,4,16627,4,14,3,1,21,2,0,0,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,662,Female,Research Scientist,Single,No,3,38,362,1,High School,3,3,1,2619,3,17,3,0,8,2,0,0,0
No,Travel_Frequently,35 - 44,1,Current Employees,R&D,Medical,663,Male,Laboratory Technician,Divorced,Yes,3,43,1001,9,Doctoral Degree,4,3,3,5679,3,13,3,1,10,3,7,4,7
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Life Sciences,664,Female,Manager,Married,No,3,48,1236,1,Master's Degree,4,2,1,15402,7,11,3,1,21,1,2,0,2
No,Travel_Rarely,35 - 44,1,Current Employees,HR,Life Sciences,665,Female,Human Resources,Single,No,1,44,1112,1,Master's Degree,1,2,3,5985,4,11,3,0,10,4,2,0,2
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Technical Degree,666,Female,Sales Representative,Divorced,Yes,3,34,204,14,Bachelor's Degree,3,3,3,2579,1,18,3,2,8,3,2,0,6
Yes,Travel_Rarely,25 - 34,0,Ex-Employees,Sales,Marketing,667,Male,Sales Representative,Divorced,No,3,27,1420,2,High School,3,3,1,3041,0,11,3,1,5,3,3,0,2
No,Travel_Rarely,Under 25,1,Current Employees,Sales,Technical Degree,669,Male,Sales Representative,Single,No,2,21,1343,22,High School,3,3,3,3447,1,11,3,0,3,3,2,1,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Other,671,Male,Manager,Married,Yes,2,44,1315,3,Master's Degree,4,3,4,19513,4,12,3,1,26,4,2,0,1
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Medical,675,Male,Research Scientist,Married,No,3,22,604,6,High School,1,3,3,2773,0,20,4,0,3,3,2,2,2
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Marketing,677,Male,Sales Executive,Divorced,No,3,33,1216,8,Master's Degree,3,3,3,7104,0,12,3,0,6,3,0,1,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,679,Female,Research Scientist,Married,Yes,2,32,646,9,Master's Degree,1,3,4,6322,1,12,3,1,6,2,4,0,5
No,Travel_Frequently,25 - 34,1,Current Employees,R&D,Medical,680,Female,Research Scientist,Divorced,No,2,30,160,3,Bachelor's Degree,3,3,3,2083,1,20,4,1,1,3,0,0,0
No,Travel_Rarely,45 - 54,1,Current Employees,Sales,Medical,682,Female,Sales Executive,Single,No,2,53,238,1,High School,4,3,1,8381,7,20,4,0,18,4,7,8,10
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,683,Male,Research Scientist,Married,No,4,34,1397,1,Doctoral Degree,2,3,4,2691,1,12,3,1,10,2,9,8,8
Yes,Travel_Frequently,45 - 54,0,Ex-Employees,Sales,Life Sciences,684,Female,Sales Executive,Married,No,4,45,306,26,Master's Degree,1,3,1,4286,2,14,3,2,5,3,1,0,0
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Life Sciences,686,Female,Laboratory Technician,Married,Yes,2,26,991,6,Bachelor's Degree,3,3,4,2659,1,13,3,1,3,3,2,0,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Other,689,Male,Manufacturing Director,Married,No,2,37,482,3,Bachelor's Degree,3,3,3,9434,1,15,3,1,10,3,7,7,8
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Medical,690,Female,Sales Executive,Married,No,5,29,1176,3,Associates Degree,2,3,3,5561,1,14,3,1,6,2,0,1,2
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,691,Male,Research Scientist,Single,No,3,35,1017,6,Master's Degree,2,1,4,6646,1,13,3,0,17,3,11,11,8
No,Travel_Frequently,25 - 34,1,Current Employees,R&D,Life Sciences,692,Male,Healthcare Representative,Divorced,No,2,33,1296,6,Bachelor's Degree,3,3,4,7725,3,23,4,1,15,1,11,4,7
No,Travel_Rarely,45 - 54,1,Current Employees,HR,Medical,698,Male,Human Resources,Married,No,1,54,397,19,Master's Degree,3,3,2,10725,2,15,3,1,16,4,7,7,1
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Medical,699,Male,Manufacturing Director,Divorced,Yes,2,36,913,9,Associates Degree,2,2,2,8847,2,11,3,1,13,3,2,0,2
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,700,Male,Research Scientist,Single,No,0,27,1115,3,Master's Degree,1,2,4,2045,0,13,3,0,5,3,2,1,1
Yes,Travel_Rarely,Under 25,0,Ex-Employees,R&D,Medical,701,Male,Research Scientist,Single,Yes,5,20,1362,10,High School,4,3,3,1009,1,11,3,0,1,3,0,1,1
Yes,Travel_Frequently,25 - 34,0,Ex-Employees,R&D,Life Sciences,702,Male,Research Scientist,Single,Yes,3,33,1076,3,Bachelor's Degree,1,3,1,3348,1,11,3,0,10,3,8,9,7
No,Non-Travel,35 - 44,1,Current Employees,R&D,Life Sciences,704,Male,Laboratory Technician,Married,No,3,35,727,3,Bachelor's Degree,3,2,3,1281,1,18,3,2,1,3,0,0,0
No,Travel_Rarely,Under 25,1,Current Employees,R&D,Medical,705,Male,Research Scientist,Married,No,3,23,885,4,Bachelor's Degree,1,4,1,2819,2,16,3,1,5,4,2,0,2
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Life Sciences,707,Male,Sales Executive,Married,No,4,25,810,8,Bachelor's Degree,4,4,2,4851,0,22,4,1,4,3,2,1,2
No,Travel_Rarely,35 - 44,1,Current Employees,Sales,Marketing,709,Female,Sales Executive,Single,No,2,38,243,7,Master's Degree,4,2,4,4028,0,20,4,0,8,3,7,0,5
No,Travel_Frequently,25 - 34,1,Current Employees,R&D,Life Sciences,710,Male,Research Scientist,Divorced,No,5,29,806,1,Master's Degree,2,1,4,2720,1,18,3,1,10,3,7,2,8
No,Travel_Rarely,45 - 54,1,Current Employees,Sales,Marketing,712,Male,Sales Executive,Married,No,3,48,817,2,High School,2,4,2,8120,3,12,3,0,12,3,2,2,2
No,Travel_Frequently,25 - 34,1,Current Employees,Sales,Medical,714,Female,Sales Executive,Divorced,Yes,3,27,1410,3,High School,4,4,4,4647,1,20,4,2,6,3,5,0,4
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Life Sciences,715,Male,Research Scientist,Single,No,2,37,1225,10,Associates Degree,4,4,4,4680,3,17,3,0,4,3,0,0,0
No,Travel_Rarely,45 - 54,1,Current Employees,R&D,Medical,716,Male,Laboratory Technician,Married,Yes,3,50,1207,28,High School,4,4,3,3221,1,11,3,3,20,3,8,3,8
No,Travel_Rarely,25 - 34,1,Current Employees,R&D,Medical,717,Female,Healthcare Representative,Single,No,3,34,1442,9,Bachelor's Degree,4,2,2,8621,1,14,3,0,9,4,7,7,7
Yes,Travel_Rarely,Under 25,0,Ex-Employees,Sales,Life Sciences,720,Female,Sales Executive,Single,No,3,24,693,3,Associates Degree,1,3,3,4577,9,14,3,0,4,3,2,2,0
No,Travel_Rarely,35 - 44,1,Current Employees,R&D,Technical Degree,721,Female,Healthcare Representative,Single,No,4,39,408,2,Master's Degree,4,2,3,4553,1,11,3,0,20,3,7,11,10
No,Travel_Rarely,25 - 34,1,Current Employees,Sales,Marketing,722,Male,Sales Executive,Single,No,2,32,929,10,Bachelor's Degree,4,3,4,5396,1,12,3,0,10,2,7,0,8
